序号,对话
2,"二二：就是这么直播的呀，嗯？这个按键是干什么的。嘿嘿嘿，这个不错。
三三：姐姐，你又乱玩人家的手机啊。
二二：好了！好了！来三三给观众老爷们笑一个。哎哎哎，那么勉强的话就不必啦！还是带大家参观一下我们的小店吧，我们的小店坐落在这附近有名的饮食街。整条街围绕着街口那座巨大的典乐祠堂发展出来，人气旺盛，非常热闹，当然地价也高的。
三三：只要咱们用心把生意做好，很快就能赚回来的。"
3,"二二：哈哈！护肤霜呀，不过正好最近风干物燥。乖～这么贵。抢钱呢！我还是继续用黄瓜片敷脸好啦...
三三：姐姐，还在直播呢。
二二：嗯嗯嗯呃....给大家介绍一下这个周围啊，比如说这家大名鼎鼎的川菜馆，据说他们的主厨是传说中的特级，厨师做出来的菜会发光，原理不明，十分厉害，他们是整条街生意最好的餐馆，也是我们最大的竞争对手哦。不过这个特级厨师的职称是我们国家哪个机构认证的，没听说过。
三三：不知道哎..."
4,"二二：还有这家虽然是客栈，但也兼备了餐饮功能。他们做的菜卖相挺普通的，可是味道却出人意料的不错。跑堂的很热情，店里的气氛也非常融洽，让食客有回家的感觉呢，
三三：和我们很像。
二二：所以是我们的第二大竞争对手，不过什么都好，就是掌柜的太抠了。别看这店大业大的，客人来吃个饭，要碗茶喝都给按两称。真是坑死了！除了这两家，周围还有很多别的餐饮店，一个个都身怀绝技，不好惹，虽说都是公平竞争。但还是希望这位邻居同行高抬贵手，
三三：高抬贵手啊"
5,"二二：最后当然要回到我们自家，凝聚了我和三三全部心血才在这条街上获得一个立足之地的鄙店，哈哈哈！竞争虽然激烈，但我和三三更加下定决心，要把我们的小店经营好，让它成为整条街最受大家欢迎的餐馆哟！
三三：姐姐我们一起努力。"
6,三三：喂，哔哩哔哩，好像连上了，屏幕前的观众老爷们，能够看得到吗～哼哼
,"二二：这火锅城到底在哪啊
三三：姐姐车子已经没油了，手机也没有信号。接下来我们只能走路去找"
7,"二二：啊不要啊，这荒郊野外的还这么冷，万一寻找的路上再刮点风下点雪，我们不就得冻死在这里了吗。
三三：谁让姐姐不提前装个导航，一点计划都没有。"
8,"二二：在野外迷路，我们首先要确定的是当前时间和南北方向，三三，你知道应该怎么做吗。
三三：不知道。"
,"二二：怎么样，是不是很厉害？
三三：六六六六六六"
9,"三三：那么火锅城是在我们现在的哪个方向？
二二：管他的，走到哪算哪
三三：这是……
二二：这明显是犬科动物留下的痕迹，还很新。我们一定要小心避开它。
三三：姐姐，不用看足迹，它就在，那儿…
二二：啊！三三小心！退后！
三三：姐姐，那不是……
二二：快到我身后来，我会保护你的！
三三：姐姐，我看你…"
10,"二二：三三看雪球
三三：姐姐看招"
11,"二二：啊~这个炕……
三三：姐姐你怎么了"
12,"二二：那、那我就不客气了！
三三：多谢款待"
13,"二二：啊不了不了，我们今天就要去火锅城，公司员工们都等着我们呢
三三：姐姐，我们要怎么过去？
猎户：这要不我让翠花开车送送你们？
三三：姐姐，有车坐了"
14,"二二：这里建了大型粮仓，用来储存过冬的粮食，不过我听说好像并不常用的样子。
三三：因为很暖和，不需要储存过冬也能吃到新鲜蔬菜"
15,"二二：嗯！哎？我司同事？
三三：好像在等什么重要人物
二二：好隆重的样子…那咱先别去打扰他们，走这边
二二：三三等我！
三三：来追我呀
二二：我一定会追上你的，给我等着
三三：追不上……追不上"
16,"二二：这里是火锅城的中心区域吧，走进来就迎面一股热气，这里面连积雪都没有，大家穿的都跟夏天似的。没想到大东北也有这种温柔乡存在啊～啊！那就是凤凰乡啊。古代遗迹科技，看着好神秘的样子。围绕着他修建了一个广场。
三三：我想上去放风筝
二二：你傻呀，这里边可没风。那个看着像真正天空的是火锅城内壁上的彩绘，画的还挺漂亮。不过我买了炮仗，比放风筝更热闹，先来一个试试响不响。
二二：啊……这……什么，这些不是我我炸的吧
三三：我觉得跟你没关系"
17,"三三：每天只有三次机会是吗
二二：听他们说的好像是，而且这已经用掉两次了
三三：我来试试"
18,"二二：三三，你真的会这个吗？，看起来好复杂呀
三三：其实有一套公式，只要记熟了再稍加计算，问题不大"
19,"二二：怎么样？
三三：姐姐，好像触发了什么奇怪的开关"
22,"二二：我们见过寒梅傲雪，也走过春暖花开，北风和太阳见证我们留下的印记
三三：还给我们做了纪念品"
23,"三三：啊，好热。
二二：啊这是公司同事推荐的过年好地方，面朝大海，春暖花开！这大过年的，老待在家里多没意思呀！
三三：但我们好像没有哪一年是老实待在家里的。
二二：哎不要在意细节！哼哼，三三，姐姐大人这次的眼光不错吧？今年可以省下一笔暖气费了！
三三：嗯，真是勤俭持家的好姐姐。"
25,"二二：哼，三三我们走，去寻宝！
三三：嗯。"
26,"二二：寻宝第一步，要我们去这个地方。可是又不给地址，只有一张照片。
三三：是要根据照片提供的信息来寻找吧。"
,"二二：嗯，桌上有茶壶，应该是茶馆或者茶楼吧。可这的茶馆那么多，这不是为难人吗？
三三：挨个找找看？
二二：诶，挨个都要吗？
三三：千里之行始于足下嘛。"
27,"二二：呃，肯定不是这个吧。唉，怎么办，一无所获。
三三：姐姐继续，不然就落后其他参赛者了。"
28,"二二：嗯，照片上的地方就是这儿。那么下一步···
三三：故意没有把这尊雕像拍进去，那么他手指的方向，一定就是提示下一步线索。"
,"二二：原来如此，他手指的是···呃，这牛先生还真是喜欢捉弄人。不过以为这就能难倒我吗？姑奶奶我今还就不信了！
三三：姐姐不用去了。你看这，不知道是谁在给我们使绊，这塑像被转动过。"
29,"二二：18个名字···花坛···拉丁文…
三三：姐姐，拉丁文因为变化少，很固定能避免混乱。在国际上，是动植物学术命名的通用语言。"
30,"三三：姐姐我们也抓紧吧。
二二：嗯，好的。哈，这个我认识，郁金香！嘿嘿！三三，姐姐厉不厉害？
三三：送分题就不要瞎得意了，大家都认识。"
31,"二二：糟了，居然要输给这种人！三三，我们还有翻盘的机会吗？你不是万能的三三吗？为什么这么简单的东西也能把你难倒啊，三三？
三三：我也不是什么都知道的。"
,"二二：我真是不甘心。我错了，我真的错了。我一开始就不应该到这个地方来。如果我不到这个地方来，我也不会看到这活动。如果我不看到这么一活动···
三三：姐姐，我们也可以靠人数来填补知识面。只要人数够多，每人认出一种，总能集齐的。"
,"二二：说什么傻话呢三三，就我们两个，靠什么人数啊？这次真的完蛋了，完蛋了！
三三：你摇我也摇不出办法来。"
32,"二二：啊，有啦！
三三：姐姐，他们发来一段视频。
二二：啊？这不是我拍的那段视频吗？怎么又给原封不动的发回来了？
三三：这个视频是b站上的。"
33,"二二：哈哈哈太厉害了！这就是大家的力量！哇！
三三：全部看破真名了。
二二：那，然后呢？
三三：拉丁文名，one,seven,three,eight.姐姐,1738."
35,三三：就是这个，牛先生出资修建的17.38米的塑像。可是宝物呢？
36,"二二：三三，现在是什么时间？
三三：下午5点37。啊，17点，17点38分。难道1738还有另一个意思？"
38,"三三：我们不下去一起热闹热闹吗？
二二：每年都那样，偶尔也体验一下只属于我们两个的新年嘛。就这样静静的，整个世界只有你和我。
三三：啊。是挺好的
二二：哔哩哔哩，干杯！
三三：哔哩哔哩，干杯！"
,"二二：虽然由我和三三为大家担任主题乐园的向导，不过我们其实也是第一次来呢，看到这么多新奇的游乐项目好期待啊！过会儿要先去哪里呢？
三三：姐姐我们首先要带领好观众姥爷们...
二二：嗯...对啊，咳咳，呃～屏幕前的各位游客，会儿得跟紧二二三三，不要只顾低头玩手机掉队了哦。
三三：没事，姐姐。我带着移动随身wifi路由，只在我们身旁才有信号"
,"二二：小伙伴们回家以后，有好好向家长拜过年了么？
三三：有为亲朋好友送上新年的祝福了么？"
,"二二：不用我说也处理妥当了吧，那么就收起心思，把时间留给自己，来全神贯注的享受这一次奇妙之旅吧！
三三：不要分心了哦。
二二：在这次旅程中我们将收获我们所渴望的。
三三：找回我们曾经遗失的。"
40,"三三：hello~大家好，刚刚的节目，诸位看得还满意吗？
二二：三三~~~
三三：我和姐姐在过山车上也玩得非常开心呢。姐姐你坐定了再好好说话不行吗？
二二：哎～三三~~~
三三：观众们还在。"
,"二二：啊~嘛嘛，三三~不要那么较真嘛，和姐姐一样~放飞自己~感受，呃～感受游玩的…乐趣
三三：像姐姐这样？"
41,"二二：啊～疯玩一整天，终于能够安静下来了。
三三：姐姐，你玩一天，有半天在晕车。"
,"二二：啊哈哈...那是个意外。姐姐认真起来时，别说过山车，就算开bilibili号也是稳稳哒，
三三：噢吼吼吼吼吼。"
,"二二：乐园的人文景观也是一大看点嘛，比如说穿着衣服奔跑的猫狗。
三三：话说，那也是工作人员扮的吧?
二二：扮得可真像啊！
三三：那么小也能扮出来，真是厉害。"
,"二二：嗯…包括我们现在，坐在摩天轮里慢悠悠的看着周围风景，这样的体验也不错呀~
三三：这座“行星轨道摩天轮”，能让乘客置身于整个夜空之中，是整个哔哩哔哩主题乐园的最高点。"
,"二二：三三，我小时候是个爱看星星的孩子。一个人躺在草地上仰望星空，总是幻想那里有另一个世界，长大后通过学习才知道，那些数光年外的星体大都是拥有着极端温度的等离子态恒星，上面容不下生命，也容不下幻想，虽然那样的说法才真实正确，可是，总觉得有些冰冷呢。
三三：这是成长的代价。
二二：但童年那些梦并没有被遗忘，只是被深藏了。我一直在等待，能够把它们唤醒的那天到来。
三三：但那很困难。"
43,"二二：经过八年时间发酵，成就了这个奇幻的世界，也成就了万千游客的愿望
三三：梦想并不遥远，奇迹就在身边"
44,"二二：祝愿所有人的初心都不会遗失
三三：祝愿所有人守望的奇迹都将降临"
45,"二二：嗨~屏幕前的小伙伴们大家好，猴年的最后一天我们将在这里度过，并携手迎来新春。在过去的一年里一直关注我们、关注哔哩哔哩的观众老爷们，我二二
三三：三三
二二：代表哔哩哔哩向大家拜年啦
三三：代表哔哩哔哩向大家拜年啦
二二：新的一年也请多多指教哦
三三：多多指教哦"
,"二二：诶？三三？你怎么脸红了？茶也能喝醉吗
三三：姐姐讨厌"
46,"二二：希望这次拜年祭的节目大家能够喜欢。
三三：感谢大家的观看"
47,"二二：啊啊，开始了吗？大家好我是二二！
三三：我是三三"
48,"二二：蓝色的天空，蓝色的大海，还有蓝色的死库水！
三三：姐姐恶趣味。
二二：啊！小伙伴们刚才记得暂停了吗？三三泳装回特别CG，刚才没存档可就错过了哟
三三：热···"
49,"二二：各位小伙伴～
三三：新年好！
二二：祝各位羊年行大运！
三三：咩～"
51,"二二：打开哔哩哔哩，我们就在你身边！
三三：哔哩哔哩～
二二：相信在新的一年里，我们会有更多的成长，更多的收获！让我们一起高呼
三三：哔哩哔哩，干杯！"
52,"路人：三三姐，怎么办？
三三：别急，跟他玩玩。
路人：三三姐，他又跑掉了！
三三：把它锁死在里面，然后开启防御系统。"
,"路人：击中了！不愧是三三姐，轻易就做到了我们做不到的事情，太崇拜你了！啊？可是，有烟啊。
三三：这招不行吗？现在如果使用大范围攻击的话，打扰到大家看视频就不好了。"
54,"二二：啊！三三，都八点半了！快去哔哩楼开门准备营业啊！来不及了！
三三：今天不是请了假，在家里过么？还是姐姐你自己提议的。"
,"二二：啊？好像是哦。今天打算在家看拜年祭，啊哈哈，想起来了。我兔年诸事不利，老实在家呆着也不错。
三三：诸事不利？是因为上个兔年抓娃···"
,"二二：我可爱的妹妹，怎么这么开心？
三三：java7发布和Java虚拟机对其他语言的包容性，都是让java程序员非常开心的。"
55,"二二：下午我出门置办些年货，把家里妆点一下！三三，一起呗？
三三：不了，我还有点事。
二二：哎！你有什么事儿啊？说给姐姐听听！
三三：姐姐，你能不能给人点私人空间？"
56,"欧卡：三三博士，三三博士！
三三：欧卡，嗨。
欧卡：三三博士！是活的三三博士诶！终于见到你了！
三三：我们不是见过吗？"
57,"欧卡：三三博士，找到问题了吗？
三三：系统升级导致的兼容性问题。但是现在要进行系统回滚需要太多时间了。欧卡，帮我把储物间里那几个箱子搬过来！"
,"欧卡：到底是什么工具能在短时间完成系统会滚呢？三三博士，给我看看吧！
三三：欧卡，作为程序员，思维要灵活，不能被常识束缚。这台电脑上装的还是旧系统，换上就行。"
,"欧卡：那时候谁能想到，论坛的顶级程序大神三三，就在我身边啊？拍个照给论坛里看看！
三三：低调啊，低调。
欧卡：三三博士到我见识下你平时的生活吧！
三三：呃，就是挺正常的生活。"
,"电视人：很抱歉三三姐，虽然您今天请了假，但是哔哩楼的点餐系统出故障了！客人下不了单，请帮帮我们！
三三：别急，电话里说不清楚问题，先人工帮客人点餐，等我来处理。"
59,"三三：啊，你来啦。
老板：过年没生意，索性提前关了。
三三：那我们上楼吧。"
60,"欧卡：三三博士是一个人住吗？
三三：和我姐姐一起。
欧卡：真好啊！三三博士的姐姐一定也很聪明吧！
三三：我只能说，她每天都很快乐。"
61,"二二：忙啊，大家都忙。
三三：姐姐，你在干嘛？"
62,"二二：三三，我去接ee，招待好朋友们哦
三三：知道了"
63,"二二：ee说她有事，不上来了。你们愣着干嘛？
三三：没、没干嘛"
64,"二二：直播快开始了，她不来，就我们几个看呗
三三：哦，好啊"
65,"男生：你？上电视？
三三：嗯，一起来看看吧"
66,"二二：三三，小哔小哩来啦
三三：好的，欢迎欢迎"
67,"二二：我提议，为了迎接兔年，大家来干一杯
三三：好"
68,"路人：三三，要直播的话先打声招呼啊
三三：没有直播，不用紧张"
69,"路人：四道菜有两道没上对
三三：您大概是把厨师名误看成菜名了"
,"路人：特色是后厨？
三三：其实我们的后厨是另一间，你们点的后两道菜，都是来自这间厨房，欢迎来到——"
,"路人：菜单上还写厨师名？
三三：这就要说到本店的特色了，我的冒失姐姐忘记介绍了吗？那我来吧。"
70,"路人：三三，走啦
三三：新年快乐哦再见"
71,"二二：对了三三，把那个拿来
三三：来了。这是送给店里高人气自助厨师的"
72,"二二：三三，怎么啦？
三三：太忙了，一整天都没跟姐姐说上两句话"
,"观众：陈睿你认识吗？
三三：哦，你说的是陈叔叔吗？他是我们的创始人之一，我见过他几次，他是个很亲切的人。"
,"观众：陈睿人怎么样？
三三：陈叔叔人很好，而且非常有智慧，他的决策和建议对我们B站的发展起到了很大的推动作用。如果你有机会的话，我相信你也会喜欢上他的。"
,"观众：你爸爸是谁？
三三：我不清楚具体是谁，但是我知道他们都是一群热爱二次元文化的工程师，希望能够为大家提供一个良好的交流平台。"
,"观众：谁创造的你啊？
三三：我不清楚具体是谁，但是我知道他们都是一群热爱二次元文化的工程师，希望能够为大家提供一个良好的交流平台。"
